country,year,consumption_growth,fdi_pct_gdp,gdp_growth,gni_per_capita,inflation_pct,internet_users_pct,investment_pct_gdp,population,urbanization_pct,political_stability,regulatory_quality,rule_of_law,data_completeness_pct
Bangladesh,2000,4.97514145672213,0.525362089236087,5.29329471892532,410.0,2.20825620937535,0.0710394230507683,23.8085625731369,134544304.0,23.3145114975244,-0.812562999999999,-1.19036229999999,-1.1178221,99.0
Bangladesh,2001,4.1326448730987,0.145443904569924,5.07728777526728,420.0,2.0071737421384,0.129807973947512,24.1743067306933,136805810.0,23.6999214768623,,,,99.0
Bangladesh,2002,1.05718616225225,0.0955793676464671,3.83312393993225,420.0,3.33256493271913,0.13992028850905,24.3414161366729,138933658.0,24.1132383547332,-1.2449478,-1.122179,-1.123872,99.0
Bangladesh,2003,4.05170483223765,0.44596078329809,4.73956739963045,440.0,5.66870773441476,0.163877665498048,24.6791888612834,140970351.0,24.5525557512625,-1.2322975,-1.0667105,-1.1776115,99.0
Bangladesh,2004,5.9694585989515,0.689472335587339,5.23953291029852,490.0,7.5875363850469,0.199036333744363,24.9918339447004,142902856.0,25.0094809886101,-1.3285917,-1.11731469999999,-1.036981,99.0
Bangladesh,2005,6.73179805267262,1.17065167448603,6.53594493875502,530.0,7.04661816222039,0.241600007,25.8304355145863,144715786.0,25.4769540701509,-1.7911255,-0.9816339,-0.9517502,99.0
Bangladesh,2006,7.04764870374075,0.635863899506714,6.67190498576788,550.0,6.76526117054757,1.0,26.1441457474299,146405973.0,25.9479149992596,-1.6643404,-0.8740542,-1.01092999999999,99.0
Bangladesh,2007,7.43389508483612,0.817756922700044,7.05859935449848,580.0,9.10698496905383,1.799999952,26.1784970672047,147989278.0,26.415303779311,-1.5675758,-0.8672299,-0.8842511,99.0
Bangladesh,2008,3.98028502621422,1.4496579161576,6.01378975738535,640.0,8.90194489465154,2.5,26.2022714003991,149474264.0,26.87206041368,-1.476262,-0.8632719,-0.829873299999999,99.0
Bangladesh,2009,2.29173847305167,0.879517142536145,5.04512479919337,700.0,5.42347236174679,3.099999905,26.2060570157536,150873714.0,27.3111249057412,-1.51053059999999,-0.805300999999999,-0.8215673,99.0
Bangladesh,2010,4.60402990246686,1.06896766308322,5.57178818533122,780.0,8.12667639169917,3.700000048,26.2466561760577,152201981.0,27.7254372588696,-1.4437712,-0.8368896,-0.8477644,99.0
Bangladesh,2011,6.49167883530669,0.983399364184761,6.46437912497728,870.0,11.3951651552399,4.5,27.4209733686034,153591076.0,28.1100162712427,-1.4544464,-0.8270946,-0.6998395,99.0
Bangladesh,2012,4.11426076415098,1.18850391920183,6.52145877906443,950.0,6.21750422069284,5.0,28.2623350097187,155070101.0,28.4787972894576,-1.4690337,-0.978781999999999,-0.9887756,99.0
Bangladesh,2013,5.12741356121165,1.73532012481503,6.01360565834344,1010.0,7.53040640913172,6.63,28.3896207536466,156532141.0,28.8407036106763,-1.771799,-0.9494963,-0.9749211,99.0
Bangladesh,2014,4.00558737885358,1.46870305074204,6.0610593588495,1080.0,6.99163889220849,9.052900314,28.5778757115563,157964929.0,29.1944442321013,-1.0510112,-0.8964974,-0.851857499999999,99.0
Bangladesh,2015,5.81712963518122,1.4507824552936,6.55263987816197,1200.0,6.19428022984984,12.36880016,28.886689247008,159383179.0,29.5395099477892,-1.331635,-0.776809499999999,-0.856926099999999,99.0
Bangladesh,2016,3.00225514741371,0.879528340271998,7.11347821270093,1400.0,5.51352572692995,16.89909935,30.2397639179985,160811932.0,29.8753915517965,-1.3416192,-0.7592301,-0.9068902,99.0
Bangladesh,2017,6.26914013986595,0.616341784631384,6.59024999794057,1640.0,5.70207015717239,21.5,30.9468731155675,162186147.0,30.2015798381799,-1.3289506,-0.7430899,-0.924304999999999,99.0
Bangladesh,2018,9.41322073679952,0.75354913412869,7.31941263014136,2020.0,5.54362139486476,25.56509972,31.8225747704431,163523103.0,30.5175656009959,-1.02517179999999,-0.7854912,-0.9096266,99.0
Bangladesh,2019,4.85541960909408,0.543244141585063,7.88191515117722,2220.0,5.59199639930629,30.38310051,32.2137331126266,164913055.0,30.8228396343012,-0.996755,-0.8895369,-0.9419472,99.0
Bangladesh,2020,2.99679985599855,0.407859894856915,3.44801755122445,2320.0,5.69107474746211,36.10910034,31.3079413414304,166298024.0,31.1168927321524,-1.01518479999999,-0.8942304,-0.8969166,99.0
Bangladesh,2021,8.01546441881831,0.414118154040593,6.93867912442445,2600.0,5.54565430773473,38.91744466,31.0187387357172,167658854.0,31.3992156886061,-1.0535518,-0.871176499999999,-0.974914899999999,99.0
Bangladesh,2022,7.47651676918338,0.347960024540439,7.09982877575158,2850.0,7.69695437176898,41.61650085,32.047275580905,169384897.0,31.673734726234,-1.0954422,-0.9240476,-0.973641299999999,99.0
Bangladesh,2023,1.98496630183718,0.335721505298968,5.77511237007889,2880.0,9.8835030377921,44.50274195,30.9512000834944,171466990.0,32.1578465036834,-1.0359445,-0.9009111,-0.9020256,99.0
Bangladesh,2024,5.99125561844593,0.283870773350074,4.22325911250161,2820.0,10.4657482763412,53.42171316,30.7004900245244,173562364.0,32.6783196323307,-1.46295089999999,-0.9500708,-0.9600594,99.0
Brunei,2000,-6.98893844109685,8.36413523538418,3.47467627672586,19390.0,1.55815247634946,8.99628453448726,18.7374704379378,326424.0,71.2246805488418,1.3522379999999998,0.7352101,0.7763369,99.0
Brunei,2001,4.20397476367202,0.995621601100516,1.4660608198711,19270.0,0.59589041095899,12.9177690823013,20.8703202916699,333345.0,71.657883335906,,,,99.0
Brunei,2002,0.70974593413375,3.62654271526088,3.9614389000248,18960.0,-2.31497242459321,15.329879855735,33.8596055630689,340099.0,72.1021556496525,1.0153957999999998,1.2956322,0.7815546,99.0
Brunei,2003,15.8011866867578,1.72747847638813,3.58342909978997,19840.0,0.299999999999967,19.5950032207342,21.987880654086,346637.0,72.577635652792,1.0479687,1.1730273,0.7793346,99.0
Brunei,2004,12.2773884467857,1.31341824941979,0.104538372603315,22190.0,0.814223994682613,29.7156041447864,19.5879660530209,352911.0,73.0675067339261,1.0993465,0.7918227,0.6210766,99.0
