country,year,consumption_growth,fdi_pct_gdp,gdp_growth_wb,gni_per_capita,inflation_pct_wb,internet_users_pct,investment_pct_gdp,population,urbanization_pct,political_stability,regulatory_quality,rule_of_law,data_completeness_pct,current_account_pct_gdp,gdp_growth_imf,govt_debt_pct_gdp,inflation_pct_imf,unemployment_pct,gni_per_capita_norm,consumption_growth_norm,population_norm,urbanization_pct_norm,gdp_growth_wb_norm,investment_pct_gdp_norm,fdi_pct_gdp_norm,internet_users_pct_norm,population_growth,population_growth_norm,demand_potential_score,economic_momentum_score,business_capacity_score,attractiveness_score,attractiveness_components_available
Bangladesh,2000,4.97514145672213,0.525362089236087,5.29329471892532,410.0,2.20825620937535,0.0710394230507683,23.8085625731369,134544304.0,23.3145114975244,-0.812562999999999,-1.19036229999999,-1.1178221,99.0,-0.546,5.293,,3.623,,0.9365687526607066,58.15364704116996,10.632647142475388,10.183638296142933,17.705904193682102,47.76507052751833,17.363507121103755,0.06680053988699564,,,23.091284696657866,27.611493947434727,0.06680053988699564,16.92319306132653,3
Bangladesh,2001,4.1326448730987,0.145443904569924,5.07728777526728,420.0,2.0071737421384,0.129807973947512,24.1743067306933,136805810.0,23.6999214768623,,,,99.0,-1.628,5.077,,1.812,,1.048313582497721,17.732031606836763,10.73304580505082,10.682886479346527,51.38092723679103,48.36477816727122,9.62287796153573,0.31081899248662154,1.6808634277077905,47.47231509315621,19.233886690459304,36.45619445519933,0.31081899248662154,18.666966712715087,3
Bangladesh,2002,1.05718616225225,0.0955793676464671,3.83312393993225,420.0,3.33256493271913,0.13992028850905,24.3414161366729,138933658.0,24.1132383547332,-1.2449478,-1.122179,-1.123872,99.0,0.241,3.833,,2.407,,1.1452130096197892,21.416246645070824,10.827115113263751,11.128401323182452,31.187444678464338,25.882045910607054,2.8725276319657502,0.2967980017593462,1.5553783863419213,49.73161097006767,20.855367986985186,19.980672740345714,0.2967980017593462,13.710946243030081,3
Bangladesh,2003,4.05170483223765,0.44596078329809,4.73956739963045,440.0,5.66870773441476,0.163877665498048,24.6791888612834,140970351.0,24.5525557512625,-1.2322975,-1.0667105,-1.1776115,99.0,0.245,4.74,37.044,3.881,,1.0752688172043012,19.069627986791872,10.917537893963793,11.523857071369264,11.267780920474957,33.574292184738376,3.9523061437749343,0.2598093997199791,1.4659464303459213,75.93379720208785,26.90063776936332,16.26479308299609,0.2598093997199791,14.47508008402646,3
Bangladesh,2004,5.9694585989515,0.689472335587339,5.23953291029852,490.0,7.5875363850469,0.199036333744363,24.9918339447004,142902856.0,25.0094809886101,-1.3285917,-1.11731469999999,-1.036981,99.0,0.228,5.24,36.585,8.139,,1.002313030069391,44.223651463991956,11.001583303254158,11.86606133388024,38.14968440265976,24.511330212085383,3.277983644660263,0.2818831366862987,1.370859181587769,44.473923565327986,25.391487348317394,21.97966608646847,0.2818831366862987,15.884345523824054,3
Bangladesh,2005,6.73179805267262,1.17065167448603,6.53594493875502,530.0,7.04661816222039,0.241600007,25.8304355145863,144715786.0,25.4769540701509,-1.7911255,-0.9816339,-0.9517502,99.0,-0.7,6.536,35.558,6.486,,0.8756567425569177,52.17256236341272,11.07573885488206,12.152951612055492,48.1833811361316,40.374182778815026,7.561360894114231,0.2894897595510199,1.2686450437351615,37.95296854785033,25.788534816468868,32.039641603020286,0.2894897595510199,19.37255539301339,3
Bangladesh,2006,7.04764870374075,0.635863899506714,6.67190498576788,550.0,6.76526117054757,1.0,26.1441457474299,146405973.0,25.9479149992596,-1.6643404,-0.8740542,-1.01092999999999,99.0,0.665,6.672,35.332,7.163,,0.7751937984496124,56.11570184834691,11.142617427879898,12.382098864853333,34.055447346820614,44.75154906860448,2.686952849166222,1.3906497008647136,1.1679354731901848,23.215533038146287,23.122131887449036,27.16464975486377,1.3906497008647136,17.225810447725838,3
Bangladesh,2007,7.43389508483612,0.817756922700044,7.05859935449848,580.0,9.10698496905383,1.799999952,26.1784970672047,147989278.0,26.415303779311,-1.5675758,-0.8672299,-0.8842511,99.0,1.003,7.059,34.989,7.205,,0.6171107994389902,51.72830981518627,11.204312877929391,12.550720782032915,60.410764817746845,38.91949167904138,2.9194029788378,2.2715359909964192,1.081448364131976,14.953254435726901,19.962348958096268,34.08321982520867,2.2715359909964192,18.772368258100453,3
Bangladesh,2008,3.98028502621422,1.4496579161576,6.01378975738535,640.0,8.90194489465154,2.5,26.2022714003991,149474264.0,26.87206041368,-1.476262,-0.8632719,-0.829873299999999,99.0,0.253,6.014,33.87,9.937,,0.5706521739130435,17.15485659455805,11.258705519651823,12.655694883841543,70.0373642364553,31.46584875212442,14.932260969818866,3.314917127071823,1.0034416141958546,9.889829400211196,10.067758263130958,38.81182465279953,3.314917127071823,17.39816668100077,3
Bangladesh,2009,2.29173847305167,0.879517142536145,5.04512479919337,700.0,5.42347236174679,3.099999905,26.2060570157536,150873714.0,27.3111249057412,-1.51053059999999,-0.805300999999999,-0.8215673,99.0,1.699,5.045,33.01,6.655,,0.5971769815418024,28.942586891998296,11.307504955190954,12.693572443772148,55.7849950681206,31.910687517250892,6.848653971554132,4.18726360273063,0.9362481289755697,17.073025399116684,14.826590429107233,31.514778852308538,4.18726360273063,16.8428776280488,3
