country,year,consumption_growth,fdi_pct_gdp,gdp_growth_wb,gni_per_capita,inflation_pct_wb,internet_users_pct,investment_pct_gdp,population,urbanization_pct,political_stability,regulatory_quality,rule_of_law,data_completeness_pct,current_account_pct_gdp,gdp_growth_imf,govt_debt_pct_gdp,inflation_pct_imf,unemployment_pct,inflation_pct_wb_trend,inflation_pct_wb_accel,political_stability_trend,political_stability_accel,regulatory_quality_trend,regulatory_quality_accel,rule_of_law_trend,rule_of_law_accel,current_account_pct_gdp_trend,current_account_pct_gdp_accel,govt_debt_pct_gdp_trend,govt_debt_pct_gdp_accel,risk_score,govt_debt_trend_zscore,inflation_pct_wb_trend_zscore,current_account_pct_gdp_trend_zscore,political_stability_trend_zscore,regulatory_quality_trend_zscore,rule_of_law_trend_zscore,anomaly_flag,is_unusual_change,risk_drivers,inflation_points,political_stability_points,regulatory_quality_points,rule_of_law_points,current_account_points,govt_debt_points,anomaly_note
Sri Lanka,2000,3.24418140973111,1.04207418020439,6.00003315828934,860.0,6.17627591012045,0.647410010940963,28.0392736849136,19293054.0,14.6196895000898,-1.9678201,-0.155627899999999,0.0901701999999999,95.3,-5.329,8.418,79.202,6.176,7.573,,,,,,,,,,,,,0,,,,,,,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2001,0.844556847478287,1.09074720867871,-1.54540813366026,810.0,14.15845579912,0.793821864362622,22.0040128023487,19600362.0,14.5739539539707,,,,95.3,-0.932,-1.948,84.364,14.158,7.9,7.982179888999551,,,,,,,,4.396999999999999,,5.162000000000006,,0,0.6090232135042718,0.6383331888130662,1.5332420229922115,,,,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2002,8.10680259831349,1.1882779089504,3.96467568513113,820.0,9.55103167007251,1.05042270585318,23.2890507211333,19805752.0,14.6107836754127,-1.0484749,0.1044782,0.2385499999999999,95.3,-1.166,3.727,96.301,9.551,8.8,-4.607424129047491,-12.58960401804704,,,,,,,-0.23399999999999987,-4.630999999999999,11.936999999999998,6.7749999999999915,10,1.5775041378641186,-0.3348966113874275,-0.18842549977447218,,,,1,False,Unusually large increase in government debt (+10),0,0,0,0,0,10,No unusual multivariate change detected
Sri Lanka,2003,8.30092270938691,1.21132740876657,5.9402690780223,910.0,6.31463787051174,1.45858022842408,22.0204689465055,19951521.0,14.7256630416211,-1.0793401,0.0019383999999999,0.1664561,95.3,-0.329,5.94,86.45,8.969,8.4,-3.2363937995607692,1.3710303294867217,-0.030865200000000037,,-0.1025398000000001,,-0.0720938999999999,,0.837,1.0709999999999997,-9.850999999999999,-21.787999999999997,0,-1.5370733351915808,-0.2289101505168205,0.2097403211892761,-0.2584738230372991,-0.8921281796454761,-0.49476473997140147,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2004,3.25557601884559,1.12667735136244,5.44506127885352,1030.0,7.57592582995856,1.44615998041486,25.2537615246688,20087605.0,14.9130061059922,-1.1602654,-0.051586,0.1531296999999999,95.3,-2.654,5.445,86.499,9.014,8.3,1.26128795944682,4.497681759007589,-0.08092529999999987,-0.05006009999999983,-0.0535243999999999,0.049015400000000195,-0.0133264000000001,0.058767499999999806,-2.3249999999999997,-3.162,0.04899999999999238,9.899999999999991,0,-0.12187611730781914,0.11877973022999148,-0.9657968645132189,-0.4651696792879813,-0.37273243784840654,0.0922160788547454,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2005,1.65108556500688,1.11612854301768,6.24174804376447,1170.0,11.6396860971118,1.792000055,26.8274555178569,20216524.0,15.167273918248,-1.1869001,-0.191553199999999,0.0958266,95.3,-2.097,6.242,76.589,11.009,7.7,4.06376026715324,2.80247230770642,-0.02663470000000001,0.054290599999999856,-0.13996719999999901,-0.08644279999999911,-0.0573030999999999,-0.0439766999999998,0.5569999999999999,2.8819999999999997,-9.909999999999997,-9.958999999999989,10,-1.545507338813312,0.3354227287060969,0.10564468172162947,-0.24100628262350612,-1.2887307206129068,-0.3470314537997283,1,False,Unusually large decline in regulatory quality (+10),0,0,10,0,0,0,No unusual multivariate change detected
Sri Lanka,2006,6.54988196557522,1.6970072277349,7.66829190107919,1320.0,10.0201836057035,2.53756612897332,27.9799093470538,20352411.0,15.4829275281105,-1.4554966,-0.180964699999999,0.0668889999999999,95.3,-4.484,7.668,74.29,9.939,6.6,-1.6195024914083014,-5.683262758561542,-0.2685965000000001,-0.24196180000000012,0.0105885,0.15055569999999902,-0.02893760000000009,0.028365499999999808,-2.387,-2.944,-2.2989999999999924,7.611000000000004,10,-0.4575208716099458,-0.10391759296509806,-0.9888466132524836,-1.2400554541384752,0.3066452119159769,-0.0637115164804104,1,False,Unusually large decline in political stability (+10),0,10,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2007,3.93825565175763,1.8639738781084,6.79682611892866,1500.0,15.8421114924843,3.88,27.9521433553302,20492545.0,15.8544279853018,-1.6920216,-0.1170914,0.0145896999999999,95.3,-3.66,6.797,71.849,15.895,6.2,5.8219278867808,7.441430378189102,-0.23652499999999987,0.03207150000000025,0.06387329999999901,0.05328479999999901,-0.05229930000000001,-0.023361699999999916,0.8239999999999998,3.211,-2.4410000000000025,-0.14200000000001012,10,-0.47781965998767395,0.4713365444795133,0.20490730935684962,-1.1076337020096576,0.8712820040773765,-0.2970525603425926,1,False,Unusually large decline in political stability (+10),0,10,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2008,7.51116906164384,1.84752962305149,5.95008814473897,1740.0,22.5644955300126,4.824500084,27.5523830555003,20629378.0,16.2762363395441,-1.6597233,-0.186027,-0.185381699999999,95.3,-8.063,5.95,68.782,22.356,6.0,6.7223840375283,0.9004561507475,0.03229829999999989,0.26882329999999977,-0.0689356,-0.132808899999999,-0.1999713999999989,-0.14767209999999892,-4.4030000000000005,-5.227,-3.0670000000000073,-0.6260000000000048,20,-0.5673058679063853,0.5409456249895164,-1.7383352174195394,0.0023253706576794025,-0.5360384938223048,-1.7720292085882432,1,False,Unusually large decline in rule of law (+10); Unusually large current account deterioration (+10),0,0,0,10,10,0,No unusual multivariate change detected
Sri Lanka,2009,0.937997022010521,0.960390452698523,3.53891205317842,1950.0,3.46496322106074,5.868500233,24.4338657450541,20756435.0,16.7428136405592,-1.1197381,-0.147503,-0.1520232,95.3,-0.432,3.539,72.75,3.503,5.9,-19.09953230895186,-25.82191634648016,0.5399852,0.5076869000000002,0.038524,0.1074596,0.033358499999999014,0.23332989999999793,7.631,12.034,3.9680000000000035,7.035000000000011,0,0.4383418520746539,-1.455198054402962,2.7355466588435307,2.098541289178714,0.6026660491420728,0.5585136213538537,-1,True,No scored risk drivers detected,0,0,0,0,0,0,Unusual multivariate change detected
Sri Lanka,2010,,0.814446067583227,8.01596737040464,2360.0,6.2176488930462,6.912399769,,20879089.0,17.2486209380693,-0.779023999999999,-0.0753803,-0.2305758,95.3,-1.833,8.016,68.731,6.214,5.0,2.75268567198546,21.852217980937322,0.3407141000000009,-0.19927109999999915,0.0721227,0.033598699999999995,-0.0785526,-0.11191109999999901,-1.401,-9.032,-4.0190000000000055,-7.987000000000009,0,-0.7033935195655107,0.2340711004520244,-0.6222812542699852,1.2757600594065948,0.9586974537601546,-0.5592754476678748,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2011,,1.41088360151362,8.66948301160571,2830.0,6.7167684358854,7.956399918,,21009048.0,17.7881192817964,-0.7674257,0.0210493,-0.2864777,95.3,-6.814,8.669,69.428,6.73,4.1,0.4991195428391997,-2.2535661291462605,0.011598299999999062,-0.32911580000000185,0.0964296,0.024306900000000006,-0.055901900000000004,0.022650699999999996,-4.981,-3.58,0.6970000000000027,4.716000000000008,10,-0.029245026682698613,0.05986087823505582,-1.9532183588920382,-0.08314397967101166,1.2162675308438293,-0.3330360052382081,1,False,Unusually large current account deterioration (+10),0,0,0,0,10,0,No unusual multivariate change detected
Sri Lanka,2012,,1.33591734742632,8.6321813769906,3340.0,7.54291373239437,9.00039959,,21169458.0,18.2617686748284,-0.9606693,0.0071890999999999,-0.1436392,95.3,-5.658,8.632,67.504,7.547,4.0,0.8261452965089697,0.32702575366977005,-0.19324359999999996,-0.20484189999999902,-0.0138602000000001,-0.1102898000000001,0.1428385,0.1987404,1.1559999999999997,6.137,-1.9239999999999924,-2.620999999999995,0,-0.403914916387076,0.08514135635400288,0.328334996154202,-0.928926787066853,0.04757253939929811,1.6520204073339848,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2013,,1.21148000059153,4.0517463303875,3630.0,6.90845034828452,10.04440022,,20585000.0,18.4323136480916,-0.8585581,-0.0763977,-0.3561281,95.3,-3.302,4.052,69.457,6.884,4.4,-0.6344633841098499,-1.4606086806188197,0.10211119999999996,0.2953547999999999,-0.0835867999999999,-0.0697265999999998,-0.2124889,-0.3553274,2.3560000000000003,1.2000000000000006,1.9529999999999887,3.876999999999981,10,0.15029918601043138,-0.027769891082536552,0.7744591653012592,0.2905796318925414,-0.6912911469112758,-1.8970563477324465,1,False,Unusually large decline in rule of law (+10),0,0,0,10,0,0,No unusual multivariate change detected
Sri Lanka,2014,,1.08277813405104,6.37797889684965,3810.0,3.1790022823606,10.5000026214106,,20778000.0,18.6153877203724,-0.553597999999999,-0.0063463,-0.3605151,95.3,-2.41,6.378,69.561,2.784,4.3,-3.7294480659239198,-3.09498468181407,0.30496010000000096,0.202848900000001,0.0700514,0.1536381999999999,-0.004386999999999974,0.20810190000000003,0.8919999999999999,-1.4640000000000004,0.10400000000001342,-1.8489999999999753,0,-0.11401391054179522,-0.26702533701933034,0.23018767894184952,1.1281334337229283,0.93674875192391,0.18150448370120897,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2015,,0.798746316666859,4.20595547501601,3920.0,3.76836783062096,15.26249981,34.2757988099064,20970000.0,18.796256612131,-0.0885947,0.0306456999999999,-0.110513199999999,95.3,-2.212,4.206,76.334,2.224,4.7,0.5893655482603601,4.31881361418428,0.465003299999999,0.16004319999999805,0.0369919999999999,-0.0330594000000001,0.250001900000001,0.254388900000001,0.19799999999999995,-0.694,6.772999999999996,6.668999999999983,0,0.8393143971417191,0.06683727730996122,-0.027820798881531737,1.7889444640864094,0.586432084379301,2.722388557760576,-1,True,No scored risk drivers detected,0,0,0,0,0,0,Unusual multivariate change detected
Sri Lanka,2016,2.88042260979221,1.01937184801285,5.05362488993089,4020.0,3.9588884659307,22.19,36.4530444585617,21209000.0,18.9747679368162,-0.1436337,-0.0445476,-0.1066651,95.3,-1.982,5.054,75.0,3.985,4.4,0.19052063530974017,-0.39884491295061997,-0.055039000000000005,-0.520042299999999,-0.07519329999999991,-0.11218529999999981,0.003848099999999008,-0.24615380000000198,0.2300000000000002,0.03200000000000025,-1.3340000000000032,-8.107,0,-0.3195748801697624,0.03600487349603018,-0.01592415437094346,-0.3582863341955419,-0.6023487296551954,0.2637582079725259,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2017,-0.605096821460023,1.45462805110061,6.46068127080994,4220.0,7.70413767850602,25.07550049,39.7266305229837,21453000.0,19.1507693078088,-0.179121299999999,-0.1170039,-0.111659899999999,95.3,-2.447,6.461,72.26,6.58,4.2,3.7452492125753194,3.5547285772655792,-0.03548759999999901,0.019551400000000996,-0.0724563,0.002736999999999906,-0.0049947999999989945,-0.008842899999998002,-0.4650000000000001,-0.6950000000000003,-2.739999999999995,-1.4059999999999917,0,-0.5205614749520411,0.31080047294935037,-0.27430440233528075,-0.2775595005715618,-0.5733458826867217,0.1754336632361227,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2018,4.73307115290011,1.70888696252064,2.31008425504933,4350.0,2.135037737132,28.33620071,38.0567747749453,21670000.0,19.3241083384127,-0.2597255,-0.1897983,-0.0575940999999999,95.3,-2.963,2.31,83.585,4.273,4.4,-5.56909994137402,-9.31434915394934,-0.08060420000000099,-0.04511660000000198,-0.07279440000000001,-0.00033810000000000784,0.054065799999999095,0.05906059999999809,-0.516,-0.050999999999999934,11.324999999999989,14.064999999999984,10,1.4900192189403938,-0.40923823145320154,-0.2932646795240306,-0.46384387211936073,-0.5769285873122393,0.7653420198679773,1,False,Unusually large increase in government debt (+10),0,0,0,0,0,10,No unusual multivariate change detected
Sri Lanka,2019,3.82503089991239,0.835367460265196,-0.220483886824823,4220.0,3.52839358231811,32.02090073,34.1087160600384,21803000.0,19.4946326418437,-0.173798099999999,-0.186002,-0.0781005999999999,95.3,-2.071,-0.22,82.594,4.304,4.8,1.39335584518611,6.96245578656013,0.08592740000000099,0.16653160000000197,0.0037963000000000025,0.07659070000000001,-0.020506499999999997,-0.07457229999999909,0.8919999999999999,1.408,-0.9909999999999997,-12.315999999999988,0,-0.2705432997925769,0.12898913807687065,0.23018767894184952,0.22375746417035167,0.23467110260677934,0.020499892574002296,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2020,-5.76384880634521,0.514700553944402,-4.62451503712715,3880.0,6.15394508391738,36.18473435,32.871123147531,21919000.0,19.6621898312161,-0.1154138,-0.1122765,-0.1909487,95.3,-1.406,-4.625,96.881,4.569,5.5,2.62555150159927,1.2321956564131598,0.058384299999999015,-0.02754310000000197,0.0737255,0.0699292,-0.1128481000000001,-0.0923416000000001,0.6650000000000003,-0.22699999999999965,14.287000000000006,15.278000000000006,10,1.913434790594104,0.2242430897325259,0.14579585694486472,0.11003326788831085,0.9756816565811526,-0.9018253378631741,1,False,Unusually large increase in government debt (+10),0,0,0,0,0,10,No unusual multivariate change detected
Sri Lanka,2021,2.69594333708876,0.668825708548416,4.2074764950026,4010.0,7.01478071238195,44.45308724,36.7330983743583,22156000.0,19.8266275195269,-0.510938,-0.1629445,-0.2315397,95.3,-3.707,4.207,102.669,5.954,5.1,0.86083562846457,-1.7647158731347,-0.3955242,-0.453908499999999,-0.05066799999999999,-0.12439349999999999,-0.04059099999999999,0.07225710000000012,-2.301,-2.966,5.787999999999997,-8.49900000000001,10,0.6985094214229811,0.08782306618297293,-0.9568743811302779,-1.7641341042696133,-0.34246435890038,-0.18010786265999235,1,False,Unusually large decline in political stability (+10),0,10,0,0,0,0,No unusual multivariate change detected
Sri Lanka,2022,1.19690603084923,1.19249322162632,-7.34919311146656,3620.0,49.7211021114327,48.3,27.2717494237454,22181000.0,19.9877933196367,-0.7621199,-0.456906,-0.3299184,95.3,-1.959,-7.349,115.942,45.214,4.7,42.70632139905075,41.84548577058618,-0.25118189999999996,0.14434230000000003,-0.2939615,-0.2432935,-0.09837870000000001,-0.057787700000000025,1.7479999999999998,4.0489999999999995,13.272999999999996,7.484999999999999,45,1.7684842876714626,3.322656639774407,0.5484229196000835,-1.1681513696827275,-2.920544062563001,-0.7573022552082521,-1,True,Unusually sharp inflation increase (+15); Unusually large decline in political stability (+10); Unusually large decline in regulatory quality (+10); Unusually large increase in government debt (+10),15,10,10,0,0,10,Unusual multivariate change detected
Sri Lanka,2023,-1.02563842376145,0.848017076796717,-2.0289296690344,3550.0,16.5411742279832,51.2,24.2731934318829,22037000.0,20.1455348442463,-0.670013,-0.3799918,-0.31553,95.3,1.719,-2.33,110.376,17.365,4.7,-33.1799278834495,-75.88624928250024,0.09210689999999999,0.34328879999999995,0.07691419999999999,0.3708757,0.014388400000000023,0.11276710000000004,3.678,1.9300000000000002,-5.565999999999988,-18.838999999999984,0,-0.9245359535115871,-2.543672366388352,1.2659392916449335,0.249272336168228,1.009470979974786,0.36903670245797876,-1,True,No scored risk drivers detected,0,0,0,0,0,0,Unusual multivariate change detected
Sri Lanka,2024,4.77848605862752,0.764077754153862,4.99241614398109,3870.0,-0.42936004906973,54.59,26.3467005241507,21916000.0,20.2996997058686,-0.350302399999999,-0.299213499999999,-0.2577461,95.3,1.219,5.009,100.84,1.242,4.4,-16.970534277052927,16.209393606396574,0.31971060000000096,0.22760370000000096,0.08077830000000097,0.0038641000000009806,0.0577839,0.043395499999999976,-0.5,-4.178,-9.536000000000001,-3.970000000000013,0,-1.4920443328043707,-1.2906174745656571,-0.28731635726873656,1.1890375715018322,1.0504172353532704,0.8024791004393481,-1,True,No scored risk drivers detected,0,0,0,0,0,0,Unusual multivariate change detected
Thailand,2000,7.03729060637259,2.66312868727133,4.45524704335014,1980.0,1.59196917460972,3.68904127944164,22.2826056940878,63007815.0,31.4626212652205,0.5759091,0.3293765999999999,0.6190078999999999,99.0,7.368,4.455,57.826,1.697,3.6,,,,,,,,,,,,,0,,,,,,,1,False,No scored risk drivers detected,0,0,0,0,0,0,No unusual multivariate change detected
