country,baseline_2008,shock_depth_2008,recovery_speed_2008,recovery_strength_2008,shock_depth_score,recovery_speed_score,recovery_strength_score,resilience_2008
Bangladesh,6.755483093007126,1.7103582938137567,7.0,6.01808365515425,79.48452035431784,60.0,38.95312274719508,59.47921436717098
Brunei,0.11028799797731519,4.010999015128455,1.0,3.2428853249051697,51.888695514064366,100.0,0.0,50.629565171354784
Cambodia,11.548384001738633,7.473605495747983,16.0,6.181788285543995,10.35527352225543,0.0,41.250906834317824,17.20206011885775
China,12.759856093944768,3.3537559505806076,16.0,10.02687143577613,59.772223054326865,0.0,95.22110215031205,51.66444173487964
India,7.881659419825373,4.794961360324553,1.0,6.869450450949589,42.48519006492884,100.0,50.903041763082335,64.4627439426704
Indonesia,5.8461817719031535,1.2173105893416238,1.0,6.196819194166871,85.39855028713015,100.0,41.461883045353595,75.62014444416126
Laos,7.774554458996506,0.27277954673797566,1.0,8.28277909881721,96.7280520934693,100.0,70.74074622637866,89.15626610661599
Malaysia,5.73859071865861,7.25211943464575,1.0,6.3593801087005,13.011964108537924,100.0,43.74361375580571,52.25185928811455
Myanmar,12.8788288803658,2.6235234873850004,16.0,7.612960915140505,68.53124699070983,0.0,61.33907224774082,43.29010641281689
Nepal,3.418452036220163,0.0,1.0,4.119111674053675,100.0,100.0,12.298851639062839,70.7662838796876
Philippines,5.59273783011185,4.14441476735516,1.0,5.596366394151005,50.288394478240356,100.0,33.03383256406935,61.10740901410323
Singapore,8.464869327971362,8.336915945193274,1.0,10.367341939744644,0.0,100.0,100.0,66.66666666666667
Sri Lanka,6.9022886879241065,3.3633766347456864,1.0,8.342725191005176,59.656824455752464,100.0,71.58215905866547,77.07966117147264
Thailand,4.863533670604177,5.554151902904756,1.0,4.176761307834787,33.378818505336454,100.0,13.108031017894813,48.82894984107708
Vietnam,7.218235675193561,1.8203381350517507,9.0,6.418206859605825,78.16532939736206,46.666666666666664,44.56931533679078,56.46710380027317
