country,year,consumption_growth,fdi_pct_gdp,gdp_growth,gni_per_capita,inflation_pct,internet_users_pct,investment_pct_gdp,population,urbanization_pct
Bangladesh,2010,4.60402990246686,1.06896766308322,5.57178818533122,780.0,8.12667639169917,3.700000048,26.2466561760577,152201981.0,27.7254372588696
Bangladesh,2011,6.49167883530669,0.983399364184761,6.46437912497728,870.0,11.3951651552399,4.5,27.4209733686034,153591076.0,28.1100162712427
Bangladesh,2012,4.11426076415098,1.18850391920183,6.52145877906443,950.0,6.21750422069284,5.0,28.2623350097187,155070101.0,28.4787972894576
Bangladesh,2013,5.12741356121165,1.73532012481503,6.01360565834344,1010.0,7.53040640913172,6.63,28.3896207536466,156532141.0,28.8407036106763
Bangladesh,2014,4.00558737885358,1.46870305074204,6.0610593588495,1080.0,6.99163889220849,9.052900314,28.5778757115563,157964929.0,29.1944442321013
Bangladesh,2015,5.81712963518122,1.4507824552936,6.55263987816197,1200.0,6.19428022984984,12.36880016,28.886689247008,159383179.0,29.5395099477892
Bangladesh,2016,3.00225514741371,0.879528340271998,7.11347821270093,1400.0,5.51352572692995,16.89909935,30.2397639179985,160811932.0,29.8753915517965
Bangladesh,2017,6.26914013986595,0.616341784631384,6.59024999794057,1640.0,5.70207015717239,21.5,30.9468731155675,162186147.0,30.2015798381799
Bangladesh,2018,9.41322073679952,0.75354913412869,7.31941263014136,2020.0,5.54362139486476,25.56509972,31.8225747704431,163523103.0,30.5175656009959
Bangladesh,2019,4.85541960909408,0.543244141585063,7.88191515117722,2220.0,5.59199639930629,30.38310051,32.2137331126266,164913055.0,30.8228396343012
Bangladesh,2020,2.99679985599855,0.407859894856915,3.44801755122445,2320.0,5.69107474746211,36.10910034,31.3079413414304,166298024.0,31.1168927321524
Bangladesh,2021,8.01546441881831,0.414118154040593,6.93867912442445,2600.0,5.54565430773473,38.91744466,31.0187387357172,167658854.0,31.3992156886061
Bangladesh,2022,7.47651676918338,0.347960024540439,7.09982877575158,2850.0,7.69695437176898,41.61650085,32.047275580905,169384897.0,31.673734726234
Bangladesh,2023,1.98496630183718,0.335721505298968,5.77511237007889,2880.0,9.8835030377921,44.50274195,30.9512000834944,171466990.0,32.1578465036834
Bangladesh,2024,5.99125561844593,0.283870773350074,4.22325911250161,2820.0,10.4657482763412,53.42171316,30.7004900245244,173562364.0,32.6783196323307
Brunei,2000,-6.98893844109685,8.36413523538418,3.47467627672586,19390.0,1.55815247634946,8.99628453448726,18.7374704379378,326424.0,71.2246805488418
Brunei,2001,4.20397476367202,0.995621601100516,1.4660608198711,19270.0,0.59589041095899,12.9177690823013,20.8703202916699,333345.0,71.657883335906
Brunei,2002,0.70974593413375,3.62654271526088,3.9614389000248,18960.0,-2.31497242459321,15.329879855735,33.8596055630689,340099.0,72.1021556496525
Brunei,2003,15.8011866867578,1.72747847638813,3.58342909978997,19840.0,0.299999999999967,19.5950032207342,21.987880654086,346637.0,72.577635652792
Brunei,2004,12.2773884467857,1.31341824941979,0.104538372603315,22190.0,0.814223994682613,29.7156041447864,19.5879660530209,352911.0,73.0675067339261
Brunei,2005,-0.565048343311574,1.65985733716788,-0.00392531660746442,25670.0,1.24443711883965,36.4663919475782,16.1152698630712,358916.0,73.552870858133
